,SubjectEntity,Relation,ObjectEntity
419,ECUT-30,hasCrystalSystem,monoclinic
420,SCIF-11,hasCrystalSystem,orthorhombic
421,SCIF-12,hasCrystalSystem,orthorhombic
422,MIL-47(V),hasCrystalSystem,triclinic
427,NJU-Bai7,hasCrystalSystem,monoclinic
428,NJU-Bai8,hasCrystalSystem,monoclinic
429,P11-Cu,hasCrystalSystem,triclinic
430,Hf-MOF-808 selenate unknown solvate,hasCrystalSystem,cubic
431,Hf-MOF-808 selenite unknown solvate,hasCrystalSystem,cubic
432,Zr-bcu-26ndc,hasCrystalSystem,tetragonal
433,Zr-bcu-tmuc,hasCrystalSystem,tetragonal
434,Zr-bcu-22bipy44dc,hasCrystalSystem,tetragonal
435,MOF-F,hasCrystalSystem,cubic
436,NU-1401-AS-DMF,hasCrystalSystem,orthorhombic
437,MFU-4,hasCrystalSystem,cubic
438,MAF-6,hasCrystalSystem,cubic
439,FIR-28,hasCrystalSystem,cubic
440,JXNU-2(Sm),hasCrystalSystem,rhombohedral
441,JXNU-2(Eu),hasCrystalSystem,rhombohedral
442,JXNU-2(Pr),hasCrystalSystem,rhombohedral
443,catena-(tris(μ4-Mucato)-di-lanthanum(iii) octahydrate),hasCrystalSystem,trigonal
444,catena-(tris(μ4-Mucato)-di-cerium(iii) octahydrate),hasCrystalSystem,trigonal
445,catena-(tris(μ4-Mucato)-di-praseodymium(iii) octahydrate),hasCrystalSystem,trigonal
446,catena-(tris(μ4-Mucato)-di-neodymium(iii) octahydrate),hasCrystalSystem,trigonal
447,catena-((μ4-Tetramethyltetra-azacalix(4)pyrimidine)-tetrakis(μ3-bromo)-tetra-copper unknown solvate),hasCrystalSystem,tetragonal
448,catena-((μ4-Tetramethyltetra-azacalix(4)pyrimidine)-tetrakis(μ3-iodo)-tetra-copper unknown solvate),hasCrystalSystem,tetragonal
449,CPM-5',hasCrystalSystem,tetragonal
450,IFP-5,hasCrystalSystem,rhombohedral
451,PCP-31,hasCrystalSystem,rhombohedral
452,PCP-32,hasCrystalSystem,orthorhombic
453,PCN-48,hasCrystalSystem,triclinic
454,PCN-49,hasCrystalSystem,triclinic
455,NOTT-212 dimethylformamide solvate tetrahydrate,hasCrystalSystem,tetragonal
456,MIL-91(Al),hasCrystalSystem,triclinic
457,ZJU-64-CH3,hasCrystalSystem,orthorhombic
458,polyMOP-NH2,hasCrystalSystem,tetragonal
459,PCN-700-c,hasCrystalSystem,tetragonal
460,PCN-700-(CF3)2,hasCrystalSystem,tetragonal
461,PCN-700-Me4-c,hasCrystalSystem,tetragonal
462,"catena-[bis(μ-2,4,6-tris(pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc cis-asarone unknown solvate]",hasCrystalSystem,monoclinic
463,"catena-[bis(μ-2,4,6-tris(pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc trans-asarone unknown solvate]",hasCrystalSystem,monoclinic
464,JUC-165,hasCrystalSystem,orthorhombic
465,CPM-11,hasCrystalSystem,orthorhombic
466,CPM-12,hasCrystalSystem,trigonal
467,NTU-17,hasCrystalSystem,monoclinic
468,Ce-MOF-808,hasCrystalSystem,cubic
469,Teaching Subset: MOFs,hasCrystalSystem,tetragonal
470,SNNU-72,hasCrystalSystem,orthorhombic
471,SNNU-71,hasCrystalSystem,hexagonal
472,SNNU-74,hasCrystalSystem,rhombohedral
473,MIT-20,hasCrystalSystem,rhombohedral
474,ST-1,hasCrystalSystem,hexagonal
475,ST-3,hasCrystalSystem,tetragonal
476,"catena-(tris(propane-1,2-diammonium) hexakis(μ3-hydrogen arsenato)-bis(μ3-arsenato)-tris(μ2-oxalato)-hexa-iron)",hasCrystalSystem,trigonal
477,V101,hasCrystalSystem,triclinic
478,MOF-CJ2,hasCrystalSystem,monoclinic
479,FJI-Y4,hasCrystalSystem,monoclinic
480,FJI-Y5,hasCrystalSystem,monoclinic
481,Mg-110,hasCrystalSystem,monoclinic
482,LIFM-13(Co),hasCrystalSystem,tetragonal
483,LIFM-13(Mg),hasCrystalSystem,tetragonal
484,UJN-1,hasCrystalSystem,cubic
485,UPG-1,hasCrystalSystem,rhombohedral
486,BUT-17,hasCrystalSystem,hexagonal
487,CCNU-11,hasCrystalSystem,monoclinic
488,LCU-105,hasCrystalSystem,monoclinic
489,CZJ-6,hasCrystalSystem,tetragonal
490,"catena-[oxonium [μ-tris(4-carboxylatophenyl)phosphine oxide]-europium(iii)-zinc(ii) N,N-dimethylformamide solvate sesquihydrate]",hasCrystalSystem,triclinic
491,"catena-[oxonium [μ-tris(4-carboxylatophenyl)phosphine oxide]-terbium(iii)-zinc(ii) N,N-dimethylformamide solvate hexahydrate]",hasCrystalSystem,triclinic
492,"catena-[[μ-tris(4-carboxylatophenyl)phosphine oxide]-terbium(iii) N,N-dimethylformamide solvate dihydrate]",hasCrystalSystem,triclinic
493,FJ-25,hasCrystalSystem,hexagonal
494,MUF-22,hasCrystalSystem,rhombohedral
495,ZIF-8 dinitrogen,hasCrystalSystem,cubic
496,MCF-19-Ia,hasCrystalSystem,cubic
497,MCF-19-IIb,hasCrystalSystem,cubic
498,SDU-1,hasCrystalSystem,cubic
499,BIF-82,hasCrystalSystem,monoclinic
500,ZJNU-62,hasCrystalSystem,monoclinic
501,catena-(tris(μ2-5-(4-pyridyl)dipyrrin)-cobalt(iii)-silver(i) hexafluorophosphate acetonitrile benzene solvate),hasCrystalSystem,orthorhombic
502,catena-(bis(μ4-Glutarato)-(μ2-glutarato)-diaqua-di-dysprosium tetrahydrate),hasCrystalSystem,monoclinic
503,DGIST-1,hasCrystalSystem,orthorhombic
504,ZJU-30,hasCrystalSystem,tetragonal
505,MOF-3,hasCrystalSystem,orthorhombic
506,"CoMOF-1 N,N-dimethylformamide methanol solvate dihydrate",hasCrystalSystem,monoclinic
507,BMM-10,hasCrystalSystem,rhombohedral
508,COB-DMF,hasCrystalSystem,orthorhombic
509,COB-CO222,hasCrystalSystem,monoclinic
510,COB-CO210,hasCrystalSystem,monoclinic
511,COB-CO214,hasCrystalSystem,monoclinic
512,COB-CO218,hasCrystalSystem,monoclinic
513,COB0,hasCrystalSystem,orthorhombic
514,COB-CO235,hasCrystalSystem,monoclinic
515,COB-CO230,hasCrystalSystem,monoclinic
516,PCN-164-inter,hasCrystalSystem,cubic
517,NJU-Bai25,hasCrystalSystem,orthorhombic
518,BIF-9-Cu,hasCrystalSystem,cubic
519,Fe-MPOF,hasCrystalSystem,monoclinic
520,JUC-57,hasCrystalSystem,monoclinic
521,MIL-88B-tpt,hasCrystalSystem,hexagonal
524,Co-WOC-1,hasCrystalSystem,monoclinic
525,JLU-Liu4,hasCrystalSystem,tetragonal
526,Liu-4_cinnamic (close pore phase),hasCrystalSystem,orthorhombic
527,UPC-21,hasCrystalSystem,monoclinic
528,UPC-17,hasCrystalSystem,triclinic
529,CD-MOF-3,hasCrystalSystem,cubic
530,CD-MOF-1,hasCrystalSystem,cubic
531,CD-MOF-2,hasCrystalSystem,cubic
532,CD-MOF-1,hasCrystalSystem,rhombohedral
533,"catena-[bis(μ-tris(4-(pyridin-4-yl)phenyl)amine)-(μ-1,4-benzenedicarboxylato)-bis(μ-chloro)-di-cobalt methanol solvate]",hasCrystalSystem,monoclinic
534,"catena-[bis(μ-4-(pyridin-4-yl)-N,N-bis(4-(pyridin-4-yl)phenyl)aniline)-(μ-2,5-dimethylterephthalato)-bis(μ-chloro)-di-cobalt methanol solvate]",hasCrystalSystem,monoclinic
535,"catena-[tris(μ-tris(4-(pyridin-4-yl)phenyl)amine)-tris(μ-2,3,5,6-tetramethyl-1,4-benzenedicarboxylato)-tri-cobalt unknown solvate]",hasCrystalSystem,monoclinic
536,SHF-61-DMF,hasCrystalSystem,orthorhombic
537,SHF-61-CHCl3,hasCrystalSystem,orthorhombic
538,LIFM-26(Fe),hasCrystalSystem,trigonal
539,CZJ-10,hasCrystalSystem,cubic
540,MOF-505,hasCrystalSystem,rhombohedral
541,DUT-58,hasCrystalSystem,monoclinic
542,ZJNU-73,hasCrystalSystem,rhombohedral
543,CPO-27-Ni,hasCrystalSystem,rhombohedral
544,MOF-In1,hasCrystalSystem,monoclinic
545,PCN-81,hasCrystalSystem,cubic
546,AUBM-1,hasCrystalSystem,tetragonal
547,CZJ-22,hasCrystalSystem,orthorhombic
548,CZJ-22-Cu,hasCrystalSystem,orthorhombic
549,Zn-CZJ-22,hasCrystalSystem,orthorhombic
550,PCN-250'',hasCrystalSystem,rhombohedral
551,MMPF-10,hasCrystalSystem,orthorhombic
552,MORF-1,hasCrystalSystem,orthorhombic
553,NU-1000,hasCrystalSystem,hexagonal
554,ZTOF-1,hasCrystalSystem,monoclinic
555,NKU-111,hasCrystalSystem,trigonal
556,FJU-101,hasCrystalSystem,tetragonal
557,ZTOF-2,hasCrystalSystem,hexagonal
558,JUB-1,hasCrystalSystem,orthorhombic
559,NU-1500-Cr,hasCrystalSystem,hexagonal
560,PCN-608-NH2-BDC,hasCrystalSystem,hexagonal
561,SION-105,hasCrystalSystem,monoclinic
562,PCM-75,hasCrystalSystem,orthorhombic
563,MIL-68 (In),hasCrystalSystem,orthorhombic
564,MIL-68 (Ga),hasCrystalSystem,orthorhombic
565,FIR-51,hasCrystalSystem,cubic
566,TMU-46,hasCrystalSystem,monoclinic
567,JUC155,hasCrystalSystem,tetragonal
569,NNU-37,hasCrystalSystem,monoclinic
570,SNNU-150-In,hasCrystalSystem,orthorhombic
571,TO-MOF,hasCrystalSystem,triclinic
572,MIL-53 deuterium,hasCrystalSystem,orthorhombic
574,NOTT-116,hasCrystalSystem,cubic
575,ZJU-9,hasCrystalSystem,rhombohedral
576,But-33,hasCrystalSystem,cubic
577,But-32,hasCrystalSystem,cubic
578,PCN-46,hasCrystalSystem,rhombohedral
579,"catena-((μ2-Iodo)-(μ2-2,11-dithia(3.3)paracyclophane-S,S')-copper(i) acetonitrile clathrate)",hasCrystalSystem,orthorhombic
580,"catena-((μ2-Bromo)-(μ2-2,11-dithia(3.3)paracyclophane-S,S')-copper(i) acetonitrile clathrate)",hasCrystalSystem,orthorhombic
581,FJU-31,hasCrystalSystem,monoclinic
582,catena-(oxonium pyrrolidinium bis(μ6-5-phosphonoisophthalato)-tri-zinc tetrahydrate),hasCrystalSystem,tetragonal
583,CAU-17,hasCrystalSystem,trigonal
584,"catena-[(μ-5-(4-(carboxylatomethyleneoxy)phenyl)-10,15,20-tris(4-(carboxymethyleneoxy)phenyl)porphyrin-21,23-diyl)-(N,N-dimethylformamide)-nickel-potassium N,N-dimethylformamide solvate hemihydrate]",hasCrystalSystem,triclinic
585,DUT-129,hasCrystalSystem,tetragonal
586,NENU-507,hasCrystalSystem,tetragonal
587,NENU-506,hasCrystalSystem,orthorhombic
588,D-NTU-18,hasCrystalSystem,tetragonal
589,L-NTU-18,hasCrystalSystem,tetragonal
590,MOF-177-OMe,hasCrystalSystem,rhombohedral
591,ZJU-19,hasCrystalSystem,orthorhombic
592,NU-111,hasCrystalSystem,cubic
593,PCN-600(Fe),hasCrystalSystem,hexagonal
594,PCN-600(Co),hasCrystalSystem,hexagonal
595,catena-(tetrakis(μ2-Urocanoato)-di-cadmium(ii) ethanol solvate trihydrate),hasCrystalSystem,tetragonal
596,α-Zn|MCF-51,hasCrystalSystem,rhombohedral
597,MIL-126,hasCrystalSystem,tetragonal
598,MOF-5,hasCrystalSystem,cubic
619,La-ThBTB,hasCrystalSystem,monoclinic
620,La-PhBTTc,hasCrystalSystem,monoclinic
621,TMOF-3,hasCrystalSystem,monoclinic
622,CAU-32,hasCrystalSystem,monoclinic
623,CAU-33,hasCrystalSystem,monoclinic
624,α-ZIF-65 unknown solvate,hasCrystalSystem,cubic
626,β-ZIF-65 unknown solvate,hasCrystalSystem,cubic
628,MIL-53as,hasCrystalSystem,orthorhombic
629,MIL-53ht,hasCrystalSystem,orthorhombic
631,MIL-53,hasCrystalSystem,orthorhombic
633,NTU-25,hasCrystalSystem,rhombohedral
634,NTU-23,hasCrystalSystem,rhombohedral
635,NTU-24,hasCrystalSystem,rhombohedral
636,JUC-105,hasCrystalSystem,hexagonal
637,CTGU-10a1,hasCrystalSystem,hexagonal
638,CPO-27-Co,hasCrystalSystem,rhombohedral
639,CPO-27-Mg,hasCrystalSystem,rhombohedral
640,CPO-27-Cu carbon dioxide,hasCrystalSystem,rhombohedral
775,TMU-16,hasCrystalSystem,monoclinic
993,CPO-27-Co carbon dioxide,hasCrystalSystem,rhombohedral
1000,CPO-27-Ni carbon dioxide,hasCrystalSystem,rhombohedral
1014,"catena-[bis(N-Methylmethanaminium) bis(μ4-terephthalato-O,O',O'',O''')-(μ4-terephthalato-O,O,O',O')-(μ2-terephthalato-O,O')-tri-cobalt(ii) dimethylformamide solvate]",hasCrystalSystem,monoclinic
1016,MUT-1,hasCrystalSystem,rhombohedral
1017,BIF-3-Cu,hasCrystalSystem,cubic
1018,IPM-206,hasCrystalSystem,monoclinic
1019,BUT-72,hasCrystalSystem,tetragonal
1020,BUT-74,hasCrystalSystem,orthorhombic
1021,Co(II)-TMU-63,hasCrystalSystem,monoclinic
1022,BIF-3-Li,hasCrystalSystem,cubic
1023,PMOF-2(Zn),hasCrystalSystem,cubic
1024,MOF-217,hasCrystalSystem,cubic
1027,JLU-Liu16,hasCrystalSystem,hexagonal
1028,JLU-Liu17,hasCrystalSystem,hexagonal
1029,MUF-15-F methanol solvate,hasCrystalSystem,orthorhombic
1030,MUF-15-CH3 methanol solvate,hasCrystalSystem,monoclinic
1031,MUF-15-Br,hasCrystalSystem,monoclinic
1032,InOF-12,hasCrystalSystem,tetragonal
1033,InOF-13,hasCrystalSystem,orthorhombic
1034,"catena-[bis(μ-d-camphorato)-hexakis(μ-5-methyl-tetrazolato)-tetra-zinc N,N-dimethylformamide solvate]|MOZ-51",hasCrystalSystem,orthorhombic
1035,Mg-MOF-1,hasCrystalSystem,hexagonal
1036,γ-MUF-10,hasCrystalSystem,orthorhombic
1037,UTSA-68,hasCrystalSystem,orthorhombic
1038,BIF-41,hasCrystalSystem,monoclinic
1039,BIF-42,hasCrystalSystem,monoclinic
1040,LIFM-38,hasCrystalSystem,orthorhombic
1041,NTU-140,hasCrystalSystem,tetragonal
1042,NTU-141,hasCrystalSystem,tetragonal
1043,catena-[tris(μ-glutarato)-triaqua-di-lanthanum(iii) pentahydrate],hasCrystalSystem,triclinic
1044,amino-MIL53(Al) NP form,hasCrystalSystem,monoclinic
1045,"catena-(octakis(μ2-Urocanato-N3,O)-tetra-zinc(ii) heptadecahydrate)",hasCrystalSystem,tetragonal
1046,activated COK-18,hasCrystalSystem,orthorhombic
1047,NKU-112,hasCrystalSystem,cubic
1048,catena-(bis(μ3-Terephthalato)-(μ2-terephthalato)-hexa-aqua-di-erbium(iii) dihydrate),hasCrystalSystem,monoclinic
1049,"catena-(bis((μ3-Nicotinato-N,O,O')-(μ2-nicotinato-N,O))-(μ2-aqua)-di-cobalt)",hasCrystalSystem,monoclinic
1050,MFM-133(Hf),hasCrystalSystem,tetragonal
1052,PCN-6'|Teaching Subset: MOFs,hasCrystalSystem,cubic
1053,MOF-HTB|Teaching Subset: MOFs,hasCrystalSystem,rhombohedral
1054,MOF-HTB'|Teaching Subset: MOFs,hasCrystalSystem,cubic
1055,ZIF-8-6.05Ar,hasCrystalSystem,cubic
1056,ZIF-8 unknown solvate,hasCrystalSystem,cubic
1057,ZIF-8 6.32Ar,hasCrystalSystem,cubic
1058,ZIF-8 8.27methane,hasCrystalSystem,cubic
1059,ZIF-8 9.76methane,hasCrystalSystem,cubic
1060,ZIF-8 3.25methane,hasCrystalSystem,cubic
1061,ZIF-8 4.22dinitrogen,hasCrystalSystem,cubic
1062,ZIF-8 4.44dinitrogen,hasCrystalSystem,cubic
1063,ZIF-8 5.63dinitrogen,hasCrystalSystem,cubic
1064,ZIF-8 6.21dinitrogen,hasCrystalSystem,cubic
1065,ZIF-8 5.9Ar,hasCrystalSystem,cubic
1066,ZIF-8 6.23dinitrogen,hasCrystalSystem,cubic
1067,ZIF-8 6.29dinitrogen,hasCrystalSystem,cubic
1068,ZIF-8 5.5dinitrogen,hasCrystalSystem,cubic
1069,ZIF-8 10.08methane,hasCrystalSystem,cubic
1070,ZIF-8 6.06dioxygen,hasCrystalSystem,cubic
1071,ZIF-8 6.18dioxygen,hasCrystalSystem,cubic
1072,ZIF-8 8.16dioxygen,hasCrystalSystem,cubic
1073,ZIF-8 8.40dioxygen,hasCrystalSystem,cubic
1074,ZIF-8 8.25dinitrogen,hasCrystalSystem,cubic
1075,ZIF-8 5.5methane,hasCrystalSystem,cubic
1076,ZIF-8 4.08methane,hasCrystalSystem,cubic
1077,PCN-609,hasCrystalSystem,orthorhombic
1078,NHU-23,hasCrystalSystem,triclinic
1079,HNU-24,hasCrystalSystem,triclinic
1080,Zr-UiO-66-PZDC,hasCrystalSystem,cubic
1081,PUM210,hasCrystalSystem,monoclinic
1082,IFMC-200,hasCrystalSystem,cubic
1083,PCN-38,hasCrystalSystem,triclinic
1084,MROF-12,hasCrystalSystem,trigonal
1085,MFM-300(Al)|NOTT-300(Al),hasCrystalSystem,tetragonal
1088,MIL-112,hasCrystalSystem,monoclinic
1089,ZJNU-91,hasCrystalSystem,monoclinic
1090,NTU-Z11,hasCrystalSystem,tetragonal
1091,NTU-Z10,hasCrystalSystem,cubic
1092,NTU-Z8,hasCrystalSystem,orthorhombic
1093,"catena-[(μ-5,11,17,23-tetra-t-butylthiacalix[4]arene-25,26,27,28-tetrakis(pyridin-3-ylmethoxy))-dibromo-cadmium chloroform solvate]",hasCrystalSystem,monoclinic
1094,SCNU-Z1-Cl*,hasCrystalSystem,hexagonal
1095,CZJ-18(H),hasCrystalSystem,orthorhombic
1096,SNNU-51,hasCrystalSystem,hexagonal
1097,SNNU-52,hasCrystalSystem,hexagonal
1098,SNNU-54,hasCrystalSystem,hexagonal
1099,IRMOF-23terp,hasCrystalSystem,cubic
1100,IRMOF-25terPh,hasCrystalSystem,cubic
1101,IRMOF-pentane,hasCrystalSystem,orthorhombic
1102,"catena-((μ8-2,5-Dioxyterephthalato)-di-nickel(ii) carbon dioxide)",hasCrystalSystem,rhombohedral
1103,InOF-18-2,hasCrystalSystem,hexagonal
1104,V105,hasCrystalSystem,orthorhombic
1105,PCN-514-DMA complex,hasCrystalSystem,triclinic
1106,PCN-518,hasCrystalSystem,monoclinic
1107,Mg-CUK-1 nonahydrate,hasCrystalSystem,monoclinic
1108,Mg-CUK-1,hasCrystalSystem,monoclinic
1110,Mg-CUK-1 pyridine solvate,hasCrystalSystem,monoclinic
1111,Mg-CUK-1 toluene solvate,hasCrystalSystem,monoclinic
1112,Mg-CUK-1 p-xylene solvate,hasCrystalSystem,monoclinic
1114,Mg-CUK-1 p-divinylbenzene solvate,hasCrystalSystem,monoclinic
1115,FCS-2,hasCrystalSystem,monoclinic
1116,ZJNU-15,hasCrystalSystem,rhombohedral
1117,JXNU-6,hasCrystalSystem,tetragonal
1118,IRMOF-61,hasCrystalSystem,tetragonal
1119,IRMOF-62,hasCrystalSystem,trigonal
1120,COK-69cp,hasCrystalSystem,trigonal
1121,COK-69op,hasCrystalSystem,trigonal
1122,ZJU-12,hasCrystalSystem,rhombohedral
1123,MAC-6,hasCrystalSystem,monoclinic
1124,PCN-514 (DMA),hasCrystalSystem,triclinic
1125,PCN-516,hasCrystalSystem,tetragonal
1126,PCN-513,hasCrystalSystem,triclinic
1127,PCN-514,hasCrystalSystem,triclinic
1128,BIPT-2,hasCrystalSystem,monoclinic
1129,POMOF-1,hasCrystalSystem,tetragonal
1130,GR-MOF-2,hasCrystalSystem,monoclinic
1131,GR-MOF-4,hasCrystalSystem,monoclinic
1132,GR-MOF-5,hasCrystalSystem,monoclinic
1133,ZIF-8,hasCrystalSystem,cubic
1134,ZIF8,hasCrystalSystem,cubic
1136,MAF-4,hasCrystalSystem,cubic
1138,JUC-62,hasCrystalSystem,rhombohedral
1139,JUC-63,hasCrystalSystem,orthorhombic
1140,Δ-Fe-HAF-1,hasCrystalSystem,cubic
1141,Λ-Fe-HAF-1,hasCrystalSystem,cubic
1142,NKU-102,hasCrystalSystem,rhombohedral
1143,NKU-103,hasCrystalSystem,trigonal
1144,UMCM-150N2,hasCrystalSystem,hexagonal
1145,SBMOF-1 acetylene,hasCrystalSystem,monoclinic
1146,SBMOF-1 ethylene,hasCrystalSystem,monoclinic
1147,SBMOF-1 ethane,hasCrystalSystem,monoclinic
1148,SBMOF-2 acetylene,hasCrystalSystem,triclinic
1149,SBMOF-2 ethylene,hasCrystalSystem,triclinic
1150,SBMOF-2 ethane,hasCrystalSystem,triclinic
1151,CH4@DUT49cp,hasCrystalSystem,cubic
1152,CH4@DUT49ip,hasCrystalSystem,cubic
1153,UTSA-74a,hasCrystalSystem,rhombohedral
1154,NJU-Bai2,hasCrystalSystem,monoclinic
1155,FJU-22,hasCrystalSystem,orthorhombic
1156,FJU-21,hasCrystalSystem,monoclinic
1157,HLJU-3,hasCrystalSystem,cubic
1158,HLJU-2,hasCrystalSystem,cubic
1159,TPMOF-1,hasCrystalSystem,hexagonal
1160,TPMOF-2,hasCrystalSystem,trigonal
1161,TPMOF-5,hasCrystalSystem,monoclinic
1162,truMOF-2,hasCrystalSystem,cubic
1163,UTSA-20,hasCrystalSystem,hexagonal
1164,NU-GRH-1,hasCrystalSystem,tetragonal
1165,NKB-1,hasCrystalSystem,tetragonal
1166,"catena-[(μ8-4,4'-(Hexafluoroisopropylidene)diphthalato)-aqua-di-cadmium(ii) hydrate]",hasCrystalSystem,rhombohedral
1167,CAU-10-H Hydrated,hasCrystalSystem,tetragonal
1168,CAU-10-H dry,hasCrystalSystem,tetragonal
1169,ZJNU-61(Ho),hasCrystalSystem,monoclinic
1170,Zn-MOF-74,hasCrystalSystem,rhombohedral
1171,Ni-MOF-74,hasCrystalSystem,rhombohedral
1172,Co-MOF-74,hasCrystalSystem,rhombohedral
1173,Mn-MOF-74,hasCrystalSystem,rhombohedral
1174,MMPF-18,hasCrystalSystem,rhombohedral
1175,Δ-MOF-520 unknown solvate,hasCrystalSystem,tetragonal
1176,Λ-MOF-520 trimesate unknown solvate,hasCrystalSystem,tetragonal
1177,"Λ-MOF-520 3-(t-butoxycarbonylamino)propan-1,2-diolato unknown solvate",hasCrystalSystem,tetragonal
1178,Λ-MOF-520 unknown solvate,hasCrystalSystem,tetragonal
1179,Λ-MOF-520 methanolate unknown solvate,hasCrystalSystem,tetragonal
1180,NOTT-300 (In) Desolvated|MFM-300(In),hasCrystalSystem,tetragonal
1181,MFM-300(In),hasCrystalSystem,tetragonal
1182,Cd-PAA-1,hasCrystalSystem,orthorhombic
1183,Mn-FPAA-1,hasCrystalSystem,monoclinic
1184,Mn-INA-1,hasCrystalSystem,monoclinic
1185,JLU-31,hasCrystalSystem,orthorhombic
1186,NOTT-300 (In) 1.09 CD4|MFM-300(In) 1.09CD4 per In,hasCrystalSystem,tetragonal
1187,catena-(bis(tetrabutylammonium) tris(μ2-chloranilato)-di-manganese(ii) methanol solvate),hasCrystalSystem,cubic
1188,URJC-1,hasCrystalSystem,orthorhombic
1189,Ubbp-3,hasCrystalSystem,tetragonal
1190,"catena-[hexakis(μ4-Terephthalato-O,O',O'',O''')-tetrakis(μ3-hydroxo)-dodecakis(μ3-isonicotinato)-octa-nickel(ii)-tetra-nickel(iii) dimethylformamide solvate hexadecahydrate]",hasCrystalSystem,cubic
1191,MIL-141(Cs),hasCrystalSystem,monoclinic
1192,MIL-141(Rb),hasCrystalSystem,monoclinic
1193,MIL-141(Na),hasCrystalSystem,monoclinic
1194,MIL-141(Li),hasCrystalSystem,monoclinic
1195,GWMOF-7,hasCrystalSystem,monoclinic
1196,GWMOF-8,hasCrystalSystem,monoclinic
1197,FIR-2,hasCrystalSystem,triclinic
1198,IPM-MOF-110,hasCrystalSystem,monoclinic
1199,MAF-23,hasCrystalSystem,monoclinic
1200,SION-10,hasCrystalSystem,triclinic
1201,HPU-1,hasCrystalSystem,monoclinic
1202,MMCF-1,hasCrystalSystem,monoclinic
1203,MTAF-3,hasCrystalSystem,monoclinic
1204,PCN-111,hasCrystalSystem,cubic
1205,Zn-Pd-2,hasCrystalSystem,orthorhombic
1206,BMOF-2-dioxole,hasCrystalSystem,triclinic
1207,CAU-10-Br,hasCrystalSystem,tetragonal
1208,MIL-96,hasCrystalSystem,hexagonal
1209,BMM-9,hasCrystalSystem,rhombohedral
1210,MIL-160.4H2O,hasCrystalSystem,tetragonal
1211,MIL-160,hasCrystalSystem,tetragonal
1212,MIL-160.2.3N2,hasCrystalSystem,tetragonal
1213,"catena-[pentakis(μ-isonicotinato)-bis(μ-iodo)-tetrakis(N,N-dimethylformamide)-di-copper(i)-sodium(i)-di-strontium(ii)]",hasCrystalSystem,orthorhombic
1214,"catena-[tetrakis(μ-isonicotinato)-bis(μ-iodo)-(μ-nitrato)-tetrakis(N,N-dimethylformamide)-di-copper(i)-sodium(i)-di-strontium(ii) N,N-dimethylformamide solvate hemihydrate]",hasCrystalSystem,triclinic
1215,"catena-((μ4-Muconato-O,O',O'',O''')-(μ2-muconato-O,O')-diaqua-tris(1,10-phenanthroline)-tri-copper(ii) bis(tetrafluoroborate) pentahydrate)",hasCrystalSystem,monoclinic
1216,JUST-3|LMOF-311,hasCrystalSystem,orthorhombic
1217,U-IHEP-4,hasCrystalSystem,cubic
1218,FMOF-1,hasCrystalSystem,tetragonal
1219,IRMOF-9,hasCrystalSystem,monoclinic
1220,BUT-36,hasCrystalSystem,monoclinic
1221,FJI-H22,hasCrystalSystem,monoclinic
1222,FJI-H22-MeOH,hasCrystalSystem,monoclinic
1223,FJI-H22(Recover),hasCrystalSystem,monoclinic
1224,ZJNU-97,hasCrystalSystem,tetragonal
1225,CMP-46,hasCrystalSystem,rhombohedral
1226,EHU-30,hasCrystalSystem,hexagonal
1227,UNLPF-2,hasCrystalSystem,tetragonal
1228,InOF-8,hasCrystalSystem,hexagonal
1229,MUF-17,hasCrystalSystem,monoclinic
1230,IMP-32-Zr,hasCrystalSystem,orthorhombic
1231,catena-(bis(oxonium)) bis(μ6-5-phosphonoisophthalato)-tri-zinc(ii)|catena-(bis(μ6-5-phosphonoisophthato)-tri-zinc(ii) bis(oxonium)),hasCrystalSystem,tetragonal
1232,hemikis(Cobaltocene) MIL-47(V),hasCrystalSystem,orthorhombic
1233,MesoMOF-2,hasCrystalSystem,cubic
1234,FJI-C2,hasCrystalSystem,tetragonal
1235,YZU-103,hasCrystalSystem,orthorhombic
1236,MOF-545,hasCrystalSystem,hexagonal
1237,"catena-((μ4-15,35,55,75-tetrakis(Pyrid-4-yl)-12,14,16,32,34,36,52,54,56,72,74,76-dodecamethyl-1,3,5,7-(1,3)benzenacyclo-octaphane-N,N',N'',N''')-di-silver bis(hexafluorophosphate) 1,2-dichlorobenzene solvate decahydrate)",hasCrystalSystem,tetragonal
1238,UTSA-85,hasCrystalSystem,triclinic
1239,SNNU-35,hasCrystalSystem,rhombohedral
1240,SNNU-36,hasCrystalSystem,tetragonal
1241,NJU-Bai50,hasCrystalSystem,hexagonal
1242,SCU-101-Re,hasCrystalSystem,triclinic
1243,SCU101.TcO4,hasCrystalSystem,triclinic
1244,HNU-25,hasCrystalSystem,rhombohedral
1245,AUBM-2(Ce),hasCrystalSystem,triclinic
1246,Zn-DBDA,hasCrystalSystem,monoclinic
1247,TIF-5Co,hasCrystalSystem,tetragonal
1248,TIF-5Zn,hasCrystalSystem,tetragonal
1249,PCN-167(In),hasCrystalSystem,hexagonal
1254,PCN-168(Fe),hasCrystalSystem,hexagonal
1260,ZIF-9,hasCrystalSystem,rhombohedral
1263,Co-ZIF-9,hasCrystalSystem,rhombohedral
