,SubjectEntity,Relation,ObjectEntity
731,ZIF-5,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
733,ZIF-7,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
734,MFM-601,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
735,SO2@MFM601,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
736,CO2 SNU-9,hasMOFFamily,Zn-oxide/zinc oxide
737,NOTT-12,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
738,NJU-Bai 42,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
739,BUT-105,hasMOFFamily,Zn-oxide/zinc oxide
740,BUT-104,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
742,MFM-520 0.92(N2O4),hasMOFFamily,Zn-oxide/zinc oxide
743,MFM-520 0.93(N2O4),hasMOFFamily,Zn-oxide/zinc oxide
744,MFM-520 0.89(N2O4),hasMOFFamily,Zn-oxide/zinc oxide
746,MFM-520 0.57(N2O4),hasMOFFamily,Zn-oxide/zinc oxide
748,PCN-60,hasMOFFamily,Zn-oxide/zinc oxide
749,PCN-61,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
750,NENU-505,hasMOFFamily,Zn-oxide/zinc oxide
752,ZnGlyPyr-Desolvated (from Benzene),hasMOFFamily,Zn-oxide/zinc oxide
753,ZnGlyPyr-Desolvated (from Acetone),hasMOFFamily,Zn-oxide/zinc oxide
754,ZnAlaPyr-CO2 (low loading),hasMOFFamily,Zn-oxide/zinc oxide
755,ZnAlaPyr-Desolvated,hasMOFFamily,Zn-oxide/zinc oxide
756,ZnAlaPyr-Diethylformamide,hasMOFFamily,Zn-oxide/zinc oxide
757,ZnAlaPyr-p-Xylene,hasMOFFamily,Zn-oxide/zinc oxide
758,ZnAlaPyr-Desolvated (CO2 removed),hasMOFFamily,Zn-oxide/zinc oxide
759,ZnAlaPyr-Trifluoroethanol,hasMOFFamily,Zn-oxide/zinc oxide
760,ZnGlyPyr-CO2(high loading),hasMOFFamily,Zn-oxide/zinc oxide
761,PCN-991,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
762,MCF-27,hasMOFFamily,Zn-oxide/zinc oxide
764,NKU-106,hasMOFFamily,Zn-oxide/zinc oxide
765,NKU-108,hasMOFFamily,Zn-oxide/zinc oxide
766,UTSA-61,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
767,ZJU-13,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
768,CPM-301,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
769,CPM-300,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
770,TMOF-4,hasMOFFamily,Zn-oxide/zinc oxide
771,UiO-67,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
780,UiO67,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
781,CPO-27-Zn,hasMOFFamily,"Zn-oxide/zinc oxide, MOF-74/CPO-27"
782,TMU-60,hasMOFFamily,Zn-oxide/zinc oxide
783,CPO-27-Fe methanol solvate,hasMOFFamily,MOF-74/CPO-27
784,CPO-27-Fe,hasMOFFamily,MOF-74/CPO-27
785,INT-IRMOF-8-C,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
786,INT-IRMOF-8-B,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
787,TMU-56,hasMOFFamily,Zn-oxide/zinc oxide
788,HKUST-1 0.56(dideuteroacetylene),hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
789,VNU-1-Zr,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
790,DUT-10(Zn),hasMOFFamily,Zn-oxide/zinc oxide
791,DUT-11,hasMOFFamily,Zn-oxide/zinc oxide
792,FJI-4,hasMOFFamily,Zn-oxide/zinc oxide
793,FJI-5,hasMOFFamily,Zn-oxide/zinc oxide
794,VNU-18,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
795,DUT-67,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
797,NUM-1,hasMOFFamily,Zn-oxide/zinc oxide
798,CZJ-1-a,hasMOFFamily,Zn-oxide/zinc oxide
799,DUT-71,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
800,DUT-73b,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
801,NTU-26,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
802,VPI-100(Ni),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
803,VPI-100(Cu),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
804,ZIF-65 methanol solvate,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
813,PCN-58,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
814,PMOF-4,hasMOFFamily,Zn-oxide/zinc oxide
815,UoC-1,hasMOFFamily,Zn-oxide/zinc oxide
816,UoC-2,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
817,reo-MOF-1,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
818,NAT-MOF-2,hasMOFFamily,Zn-oxide/zinc oxide
819,TMU-21,hasMOFFamily,Zn-oxide/zinc oxide
820,PCN-21,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
821,PCN-226(Cu),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
822,PCN-226(Co),hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
823,H2O@MIL-161,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
824,DMF@MIL-161,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
825,JUC-199a,hasMOFFamily,Zn-oxide/zinc oxide
826,IFMC-16,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
827,DUT-67_D2O_loading1,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
828,DUT-67_D2O_loading2,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
829,DUT-67-loading3,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
830,HBU-18,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
831,ZnBTCA-T,hasMOFFamily,Zn-oxide/zinc oxide
